nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;kode_desa;kode_desa;nama_desa;tahun;jenis_kelamin;jumlah_buruh_pabrik;satuan
1103;Kabupaten Aceh Timur;110322;Darul Falah;1103222007;Buket Teumpeun;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110322;Darul Falah;1103222008;Keude Blang;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062003;Asan Tanjong;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062004;Bantayan;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062005;Matang Seuleumak;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062006;Teupin Pukat;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062007;Matang Neuheun;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062008;Kuala Bagok;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062009;Meunasah Teungoh;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062010;Medang Ara;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062011;Peulawi;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062012;Baroh Bugeng;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062013;Seumatang Aron;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062014;Blang Panjou;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062025;Pulo U;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062026;Cot Asan;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110309;Simpang Ulim;1103092018;Teupin Mamplam;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110309;Simpang Ulim;1103092019;Titi Baroh;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110309;Simpang Ulim;1103092020;Pucok Alue Sa;2024;Laki-laki;10;Jiwa
1103;Kabupaten Aceh Timur;110309;Simpang Ulim;1103092021;Pucok Alue Barat;2024;Laki-laki;6;Jiwa
1103;Kabupaten Aceh Timur;110309;Simpang Ulim;1103092022;Arakundo;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110309;Simpang Ulim;1103092023;Gampong Baro;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110309;Simpang Ulim;1103092024;Matang Seupeng;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110310;Ranto Peureulak;1103102001;Paya Unou;2024;Laki-laki;5;Jiwa
